src,tgt,src_label,tgt_label,src_cat,tgt_cat,src_summary,tgt_summary,cur_type,new_type,new_weight,hint,impact,note
K009,K074,指数（Compound）,期权（Options）,系统与策略,系统与策略,复利是世界的隐藏主轴；按线性看的人总会错过。,保留廉价的不对称机会；放弃确定性换取可能。,related,,,related,9,
K049,K096,重尾（Fat Tail）,杰文斯悖论（Jevons）,系统与策略,系统与策略,极少数事件占绝大多数结果；要为尾巴下注。,效率提升 → 总消耗上升；改善单点不等于系统变好。,related,,,related,9,
K051,K025,限制（能量）,take time off,系统与策略,行动,能量是最真实的硬约束；不要用时间计量安排。,战略性撤退是生产力工具，不是奖励。,related,,,相关,9,
K056,K024,复利（Compound Interest）,例行公事（Routines）,系统与策略,行动,时间是复利的朋友，断点是它的敌人；不要频繁中断。,把重要但不紧急的事装进例行；意志力最贵的资源要外包。,related,,,相关,9,
K072,K063,非便利性（Inconvenience）,赛道选择,系统与策略,系统与策略,最便宜的路最挤；反向找有门槛的路 = 阿尔法。,努力 ≠ 价值；选对赛道，努力 ×10，×100。,related,,,related,9,
K090,K049,阿尔法（Alpha）,重尾（Fat Tail）,系统与策略,系统与策略,超出基准的部分来自独特判断；不是勤奋，是高赔率。,极少数事件占绝大多数结果；要为尾巴下注。,related,,,related,9,
K090,K071,阿尔法（Alpha）,凯利公式（Kelly Criterion）,系统与策略,系统与策略,超出基准的部分来自独特判断；不是勤奋，是高赔率。,按优势/赔率定下注比例；ALL IN 几乎必败。,related,,,related,9,
K091,K074,杠杆（Leverage）,期权（Options）,系统与策略,系统与策略,杠杆 = 投入产出比；高杠杆 = 用更少得更多。,保留廉价的不对称机会；放弃确定性换取可能。,related,,,related,9,
K102,K103,激励相容（Incentive Compatibility）,柠檬市场（Lemons）,系统与策略,系统与策略,让人自利 = 让你也得；好制度让'利己'对齐'利他'。,劣币驱良币；信息不对称时市场失灵。,related,,,related,9,
K102,K108,激励相容（Incentive Compatibility）,组织资本,系统与策略,关系与社会,让人自利 = 让你也得；好制度让'利己'对齐'利他'。,组织资本是隐形资产：流程、文化、关系网；不维护会衰竭。,related,,,相关,9,
K009,K056,指数（Compound）,复利（Compound Interest）,系统与策略,系统与策略,复利是世界的隐藏主轴；按线性看的人总会错过。,时间是复利的朋友，断点是它的敌人；不要频繁中断。,related,,,related,8,
K009,K065,指数（Compound）,探索与利用,系统与策略,系统与策略,复利是世界的隐藏主轴；按线性看的人总会错过。,利用已知的稳赢 vs 探索未知的高奖；分配比例 = 阶段决定。,related,,,related,8,
K009,K077,指数（Compound）,回归均值,系统与策略,认知,复利是世界的隐藏主轴；按线性看的人总会错过。,极端表现会被拉回均值；不要把偶然当能力。,related,,,相关,8,
K037,K091,80/20 法则,杠杆（Leverage）,系统与策略,系统与策略,20% 因决定 80% 结果；找那 20%，把时间全部压上去。,杠杆 = 投入产出比；高杠杆 = 用更少得更多。,related,,,related,8,
K065,K056,探索与利用,复利（Compound Interest）,系统与策略,系统与策略,利用已知的稳赢 vs 探索未知的高奖；分配比例 = 阶段决定。,时间是复利的朋友，断点是它的敌人；不要频繁中断。,related,,,related,8,
K089,K090,租（Rent）,阿尔法（Alpha）,系统与策略,系统与策略,租金 = 你比平均多留的部分；区分真租与租寻。,超出基准的部分来自独特判断；不是勤奋，是高赔率。,related,,,related,8,
K095,K091,成本病（Baumol）,杠杆（Leverage）,系统与策略,系统与策略,人力密集行业效率提升慢，工资追通胀而生产力不增 = 病。,杠杆 = 投入产出比；高杠杆 = 用更少得更多。,related,,,related,8,
K095,K096,成本病（Baumol）,杰文斯悖论（Jevons）,系统与策略,系统与策略,人力密集行业效率提升慢，工资追通胀而生产力不增 = 病。,效率提升 → 总消耗上升；改善单点不等于系统变好。,related,,,related,8,
K096,K037,杰文斯悖论（Jevons）,80/20 法则,系统与策略,系统与策略,效率提升 → 总消耗上升；改善单点不等于系统变好。,20% 因决定 80% 结果；找那 20%，把时间全部压上去。,related,,,related,8,
K096,K046B,杰文斯悖论（Jevons）,场景（系统中）,系统与策略,系统与策略,效率提升 → 总消耗上升；改善单点不等于系统变好。,同一个动作在不同场景下意义全变；先识别场景再行动。,related,,,related,8,
K100,K095,软预算（Soft Budget）,成本病（Baumol）,系统与策略,系统与策略,不硬约束成本 = 资源被滥用；软预算下没有真效率。,人力密集行业效率提升慢，工资追通胀而生产力不增 = 病。,related,,,related,8,
K027,K033,目标（选择与排序）,少而精（too much good）,系统与策略,系统与策略,目标不是同时做三件，是放弃其中两件。,好东西太多 = 没好东西；选择性削减。,related,,,related,7,
K037,K093,80/20 法则,效果（Outcome）,系统与策略,系统与策略,20% 因决定 80% 结果；找那 20%，把时间全部压上去。,投入→效果→目标的链条要直；中间越多越损耗。,related,,,related,7,
K051,K042,限制（能量）,内向 / 外向（恢复）,系统与策略,情绪,能量是最真实的硬约束；不要用时间计量安排。,能量有主要来源；不充电就会失控。,related,,,相关,7,
K055,K072,供给侧心态,非便利性（Inconvenience）,系统与策略,系统与策略,不要追需求，要造供给；让别人'找不到替代'。,最便宜的路最挤；反向找有门槛的路 = 阿尔法。,related,,,related,7,
K072,K090,非便利性（Inconvenience）,阿尔法（Alpha）,系统与策略,系统与策略,最便宜的路最挤；反向找有门槛的路 = 阿尔法。,超出基准的部分来自独特判断；不是勤奋，是高赔率。,related,,,related,7,
K091,K093,杠杆（Leverage）,效果（Outcome）,系统与策略,系统与策略,杠杆 = 投入产出比；高杠杆 = 用更少得更多。,投入→效果→目标的链条要直；中间越多越损耗。,related,,,related,7,
K093,K027,效果（Outcome）,目标（选择与排序）,系统与策略,系统与策略,投入→效果→目标的链条要直；中间越多越损耗。,目标不是同时做三件，是放弃其中两件。,related,,,related,7,
K100,K102,软预算（Soft Budget）,激励相容（Incentive Compatibility）,系统与策略,系统与策略,不硬约束成本 = 资源被滥用；软预算下没有真效率。,让人自利 = 让你也得；好制度让'利己'对齐'利他'。,related,,,related,7,
K016,K020,环境,Event→Thought→Emotion,行动,认知,环境是隐形的执行系统；改环境比改意志便宜 10 倍。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,treats / applies,19,
K035,K062,拖延,身份认同,行动,身份,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,enables (身份驱动),19,
K026,K020,写下来（A.B.C）,Event→Thought→Emotion,行动,认知,心智外移到纸上；'写'是认知的廉价外骨骼。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,treats / applies,18,
K006,K021,理想 + 现实 + Action,Focus,行动,行动,理想画方向，现实给约束；二者之间只活 Action。,Focus 是对'不做什么'的勇气。,related,,,同簇，多为 enables / contrasts,14,
K006,K031,理想 + 现实 + Action,Calling,行动,意义与目的,理想画方向，现实给约束；二者之间只活 Action。,Calling 不是职业而是回响；做对的事会回响到对的人。,related,,,enables / motivates,14,
K016,K021,环境,Focus,行动,行动,环境是隐形的执行系统；改环境比改意志便宜 10 倍。,Focus 是对'不做什么'的勇气。,related,,,同簇，多为 enables / contrasts,13,
K021,K034,Focus,Say No,行动,行动,Focus 是对'不做什么'的勇气。,说不的成本总被低估；说不的能力 = 自由。,related,,,同簇，多为 enables / contrasts,13,
K025,K073,take time off,脆弱和反脆弱,行动,情绪,战略性撤退是生产力工具，不是奖励。,脆弱 = 波动大；反脆弱 = 波动越大越受益。,related,,,treats (行动解决情绪),13,
K038,K006,奖励过程（have → having）,理想 + 现实 + Action,行动,行动,不要等有结果再行动；要把过程的'奖励结构'重设计。,理想画方向，现实给约束；二者之间只活 Action。,related,,,同簇，多为 enables / contrasts,13,
K038,K035,奖励过程（have → having）,拖延,行动,行动,不要等有结果再行动；要把过程的'奖励结构'重设计。,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,related,,,同簇，多为 enables / contrasts,13,
K006,K026,理想 + 现实 + Action,写下来（A.B.C）,行动,行动,理想画方向，现实给约束；二者之间只活 Action。,心智外移到纸上；'写'是认知的廉价外骨骼。,related,,,同簇，多为 enables / contrasts,12,
K024,K021,例行公事（Routines）,Focus,行动,行动,把重要但不紧急的事装进例行；意志力最贵的资源要外包。,Focus 是对'不做什么'的勇气。,related,,,同簇，多为 enables / contrasts,12,
K025,K032,take time off,压力（break）,行动,情绪,战略性撤退是生产力工具，不是奖励。,压力不是负担，是'被需要'的信号；用对就增益。,related,,,treats (行动解决情绪),12,
K034,K044,Say No,主动性 / 建立联系,行动,关系与社会,说不的成本总被低估；说不的能力 = 自由。,网络是被构建的，不是'有'的；联结是双向投资。,related,,,相关,12,
K016,K026,环境,写下来（A.B.C）,行动,行动,环境是隐形的执行系统；改环境比改意志便宜 10 倍。,心智外移到纸上；'写'是认知的廉价外骨骼。,related,,,同簇，多为 enables / contrasts,11,
K024,K016,例行公事（Routines）,环境,行动,行动,把重要但不紧急的事装进例行；意志力最贵的资源要外包。,环境是隐形的执行系统；改环境比改意志便宜 10 倍。,related,,,同簇，多为 enables / contrasts,11,
K025,K024,take time off,例行公事（Routines）,行动,行动,战略性撤退是生产力工具，不是奖励。,把重要但不紧急的事装进例行；意志力最贵的资源要外包。,related,,,同簇，多为 enables / contrasts,11,
K035,K018,拖延,失败 More,行动,情绪,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,失败不是反例，是数据；量比质更重要。,related,,,treats (行动解决情绪),11,
K038,K057,奖励过程（have → having）,自我觉得论（SDT）,行动,认知,不要等有结果再行动；要把过程的'奖励结构'重设计。,自主、胜任、归属三需求被满足时，动机与幸福最稳。,related,,,treats / applies,11,
K021,K033,Focus,少而精（too much good）,行动,系统与策略,Focus 是对'不做什么'的勇气。,好东西太多 = 没好东西；选择性削减。,related,,,相关,10,
K023,K006,Change：A/B/C 渐进/突变,理想 + 现实 + Action,行动,行动,A 微调、B 改造、C 重启；知道在哪一档才不空转。,理想画方向，现实给约束；二者之间只活 Action。,related,,,同簇，多为 enables / contrasts,10,
K024,K026,例行公事（Routines）,写下来（A.B.C）,行动,行动,把重要但不紧急的事装进例行；意志力最贵的资源要外包。,心智外移到纸上；'写'是认知的廉价外骨骼。,related,,,同簇，多为 enables / contrasts,10,
K025,K042,take time off,内向 / 外向（恢复）,行动,情绪,战略性撤退是生产力工具，不是奖励。,能量有主要来源；不充电就会失控。,related,,,treats (行动解决情绪),10,
K035,K036,拖延,完美主义,行动,行动,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,完美主义是拖延的体面别名；先丑再好。,related,,,同簇，多为 enables / contrasts,10,
K035,K060,拖延,WOOP（Wish–Outcome–Obstacle–Plan）,行动,行动,拖延不是懒，是情绪管理失败（怕失败/求完美/怕无聊）。,用'具体障碍'逼出'if-then'；心理对照的力量。,related,,,同簇，多为 enables / contrasts,10,
K023,K016,Change：A/B/C 渐进/突变,环境,行动,行动,A 微调、B 改造、C 重启；知道在哪一档才不空转。,环境是隐形的执行系统；改环境比改意志便宜 10 倍。,related,,,同簇，多为 enables / contrasts,9,
K034,K033,Say No,少而精（too much good）,行动,系统与策略,说不的成本总被低估；说不的能力 = 自由。,好东西太多 = 没好东西；选择性削减。,related,,,相关,9,
K036,K038,完美主义,奖励过程（have → having）,行动,行动,完美主义是拖延的体面别名；先丑再好。,不要等有结果再行动；要把过程的'奖励结构'重设计。,related,,,同簇，多为 enables / contrasts,9,
K060,K034,WOOP（Wish–Outcome–Obstacle–Plan）,Say No,行动,行动,用'具体障碍'逼出'if-then'；心理对照的力量。,说不的成本总被低估；说不的能力 = 自由。,related,,,同簇，多为 enables / contrasts,9,
K036,K018,完美主义,失败 More,行动,情绪,完美主义是拖延的体面别名；先丑再好。,失败不是反例，是数据；量比质更重要。,related,,,treats (行动解决情绪),7,
K023,K060,Change：A/B/C 渐进/突变,WOOP（Wish–Outcome–Obstacle–Plan）,行动,行动,A 微调、B 改造、C 重启；知道在哪一档才不空转。,用'具体障碍'逼出'if-then'；心理对照的力量。,related,,,同簇，多为 enables / contrasts,6,
K020,K073,Event→Thought→Emotion,脆弱和反脆弱,认知,情绪,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,脆弱 = 波动大；反脆弱 = 波动越大越受益。,related,,,treats / reframes,20,
K020,K017,Event→Thought→Emotion,P or N 视角,认知,情绪,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,同一事件，可用成长视角（P）或威胁视角（N）解读。,related,,,treats / reframes,19,
K048,K020,叙事（故事）,Event→Thought→Emotion,认知,认知,我们活在自己讲的故事里；改写叙事 = 改写现实。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,同簇，多为 enables / part_of,19,
K020,K067,Event→Thought→Emotion,偏置（Bias）,认知,认知,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,偏置是系统的、可预测的错误方向；先承认才能校对。,related,,,同簇，多为 enables / part_of,17,
K020,K078,Event→Thought→Emotion,前景理论,认知,认知,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,人对损失更敏感；参考点决定一切价值判断。,related,,,同簇，多为 enables / part_of,17,
K046A,K052,概率,不确定性（Knightian）,认知,系统与策略,世界是分布，不是单点；用概率思考代替确定论。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,相关,16,
K046A,K069,概率,贝叶斯,认知,认知,世界是分布，不是单点；用概率思考代替确定论。,信念随证据更新；好判断不是更准，是更快纠错。,treats,,,同簇，多为 enables / part_of,16,
K069,K046A,贝叶斯,概率,认知,认知,信念随证据更新；好判断不是更准，是更快纠错。,世界是分布，不是单点；用概率思考代替确定论。,related,,,同簇，多为 enables / part_of,16,
K068,K046A,分布,概率,认知,认知,看均值会忽略尾部；看分布才能看见可能。,世界是分布，不是单点；用概率思考代替确定论。,related,,,同簇，多为 enables / part_of,15,
K068,K069,分布,贝叶斯,认知,认知,看均值会忽略尾部；看分布才能看见可能。,信念随证据更新；好判断不是更准，是更快纠错。,related,,,同簇，多为 enables / part_of,15,
K046A,K079,概率,OODA 环,认知,认知,世界是分布，不是单点；用概率思考代替确定论。,观察-判断-决策-行动的循环要快；快循环者赢。,related,,,同簇，多为 enables / part_of,14,
K069,K079,贝叶斯,OODA 环,认知,认知,信念随证据更新；好判断不是更准，是更快纠错。,观察-判断-决策-行动的循环要快；快循环者赢。,related,,,同簇，多为 enables / part_of,14,
K079,K052,OODA 环,不确定性（Knightian）,认知,系统与策略,观察-判断-决策-行动的循环要快；快循环者赢。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,相关,14,
K046A,K046B,概率,场景（系统中）,认知,系统与策略,世界是分布，不是单点；用概率思考代替确定论。,同一个动作在不同场景下意义全变；先识别场景再行动。,related,,,相关,12,
K057,K031,自我觉得论（SDT）,Calling,认知,意义与目的,自主、胜任、归属三需求被满足时，动机与幸福最稳。,Calling 不是职业而是回响；做对的事会回响到对的人。,related,,,相关,12,
K068,K049,分布,重尾（Fat Tail）,认知,系统与策略,看均值会忽略尾部；看分布才能看见可能。,极少数事件占绝大多数结果；要为尾巴下注。,related,,,相关,12,
K069,K067,贝叶斯,偏置（Bias）,认知,认知,信念随证据更新；好判断不是更准，是更快纠错。,偏置是系统的、可预测的错误方向；先承认才能校对。,related,,,同簇，多为 enables / part_of,12,
K069,K080,贝叶斯,预测,认知,认知,信念随证据更新；好判断不是更准，是更快纠错。,预测的目的不是'对'，是更早发现错。,related,,,同簇，多为 enables / part_of,12,
K080,K046A,预测,概率,认知,认知,预测的目的不是'对'，是更早发现错。,世界是分布，不是单点；用概率思考代替确定论。,related,,,同簇，多为 enables / part_of,12,
K047,K001,问自己,问题创造现实,认知,意义与目的,高质量的问题是高价值的工具；提问是最便宜的杠杆。,提问方式决定你能看见的世界；问题的形塑力大于答案。,related,,,相关,11,
K057,K022,自我觉得论（SDT）,感激（Gratitude）,认知,情绪,自主、胜任、归属三需求被满足时，动机与幸福最稳。,感激不是客气，是主动切到'足够'视角的方法。,related,,,treats / reframes,11,
K068,K077,分布,回归均值,认知,认知,看均值会忽略尾部；看分布才能看见可能。,极端表现会被拉回均值；不要把偶然当能力。,related,,,同簇，多为 enables / part_of,11,
K070,K046A,信息价值,概率,认知,认知,信息不是免费的，值钱的是它改变决策的程度。,世界是分布，不是单点；用概率思考代替确定论。,related,,,同簇，多为 enables / part_of,11,
K076,K069,偏差（Error）,贝叶斯,认知,认知,偏差是测量里的系统偏离；与偏置（认知陷阱）同字不同义。,信念随证据更新；好判断不是更准，是更快纠错。,related,,,同簇，多为 enables / part_of,11,
K058,K052,自由能（Free Energy）,不确定性（Knightian）,认知,系统与策略,主动降低内外预测误差；行动是减少自由能的最快路径。,不确定性不是敌人，是地图之外的总面积；管理它而不是消灭它。,related,,,相关,10,
K076,K068,偏差（Error）,分布,认知,认知,偏差是测量里的系统偏离；与偏置（认知陷阱）同字不同义。,看均值会忽略尾部；看分布才能看见可能。,related,,,同簇，多为 enables / part_of,10,
K078,K032,前景理论,压力（break）,认知,情绪,人对损失更敏感；参考点决定一切价值判断。,压力不是负担，是'被需要'的信号；用对就增益。,related,,,treats / reframes,10,
K079,K080,OODA 环,预测,认知,认知,观察-判断-决策-行动的循环要快；快循环者赢。,预测的目的不是'对'，是更早发现错。,related,,,同簇，多为 enables / part_of,10,
K047,K030,问自己,Find who you are,认知,身份,高质量的问题是高价值的工具；提问是最便宜的杠杆。,自我不是找到的，是经由问题-工作-修正而浮现的。,related,,,相关,9,
K047,K079,问自己,OODA 环,认知,认知,高质量的问题是高价值的工具；提问是最便宜的杠杆。,观察-判断-决策-行动的循环要快；快循环者赢。,related,,,同簇，多为 enables / part_of,9,
K057,K042,自我觉得论（SDT）,内向 / 外向（恢复）,认知,情绪,自主、胜任、归属三需求被满足时，动机与幸福最稳。,能量有主要来源；不充电就会失控。,related,,,treats / reframes,9,
K070,K050,信息价值,能动性（Agency）,认知,系统与策略,信息不是免费的，值钱的是它改变决策的程度。,能动性 = 你能动的杠杆点 + 你真的去动；知道+做 = 主权。,related,,,相关,9,
K077,K071,回归均值,凯利公式（Kelly Criterion）,认知,系统与策略,极端表现会被拉回均值；不要把偶然当能力。,按优势/赔率定下注比例；ALL IN 几乎必败。,related,,,相关,9,
K058,K079,自由能（Free Energy）,OODA 环,认知,认知,主动降低内外预测误差；行动是减少自由能的最快路径。,观察-判断-决策-行动的循环要快；快循环者赢。,related,,,同簇，多为 enables / part_of,8,
K067,K078,偏置（Bias）,前景理论,认知,认知,偏置是系统的、可预测的错误方向；先承认才能校对。,人对损失更敏感；参考点决定一切价值判断。,related,,,同簇，多为 enables / part_of,8,
K077,K078,回归均值,前景理论,认知,认知,极端表现会被拉回均值；不要把偶然当能力。,人对损失更敏感；参考点决定一切价值判断。,related,,,同簇，多为 enables / part_of,8,
K067,K076,偏置（Bias）,偏差（Error）,认知,认知,偏置是系统的、可预测的错误方向；先承认才能校对。,偏差是测量里的系统偏离；与偏置（认知陷阱）同字不同义。,related,,,同簇，多为 enables / part_of,7,
K070,K080,信息价值,预测,认知,认知,信息不是免费的，值钱的是它改变决策的程度。,预测的目的不是'对'，是更早发现错。,related,,,同簇，多为 enables / part_of,7,
K014,K020,信念,Event→Thought→Emotion,身份,认知,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,情绪不是事件直接给的，是认知扭曲塑造的（ABC 模型）。,related,,,相关,21,
K062,K014,身份认同,信念,身份,身份,身份是行为的持续模式；想做新事，先认领新身份。,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,related,,,related,20,
K030,K062,Find who you are,身份认同,身份,身份,自我不是找到的，是经由问题-工作-修正而浮现的。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,18,
K053,K062,3个我（进程、界面、内核）,身份认同,身份,身份,内核稳定，界面灵活，进程是当下任务；改界面不改内核。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,18,
K011,K062,To be human,身份认同,身份,身份,完整的人性包含脆弱、矛盾、有限，而不只是'更高更快'。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,17,
K028,K062,自我和谐,身份认同,身份,身份,内外一致，不拧巴；不一致的小事会消耗大量能量。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,17,
K014,K001,信念,问题创造现实,身份,意义与目的,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,提问方式决定你能看见的世界；问题的形塑力大于答案。,related,,,相关,16,
K015,K062,扮演（as if）,身份认同,身份,身份,假装，直到成真：身份的杠杆在行为而非心态。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,16,
K045,K062,我生了不是这样的,身份认同,身份,身份,出生剧本不是判决；'本来的我'是可重写的变量。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,16,
K054,K062,君子不器,身份认同,身份,身份,不要被塑成单一工具；留接口而非定死形状。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,16,
K029,K062,24种性格 (Top 5),身份认同,身份,身份,性格不止一套标签；用 Top 5 取代 One Type 更立体。,身份是行为的持续模式；想做新事，先认领新身份。,related,,,related,15,
K014,K048,信念,叙事（故事）,身份,认知,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,我们活在自己讲的故事里；改写叙事 = 改写现实。,related,,,相关,14,
K030,K001,Find who you are,问题创造现实,身份,意义与目的,自我不是找到的，是经由问题-工作-修正而浮现的。,提问方式决定你能看见的世界；问题的形塑力大于答案。,related,,,相关,14,
K011,K014,To be human,信念,身份,身份,完整的人性包含脆弱、矛盾、有限，而不只是'更高更快'。,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,related,,,related,13,
K030,K031,Find who you are,Calling,身份,意义与目的,自我不是找到的，是经由问题-工作-修正而浮现的。,Calling 不是职业而是回响；做对的事会回响到对的人。,related,,,相关,13,
K014,K015,信念,扮演（as if）,身份,身份,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,假装，直到成真：身份的杠杆在行为而非心态。,related,,,related,12,
K045,K014,我生了不是这样的,信念,身份,身份,出生剧本不是判决；'本来的我'是可重写的变量。,信念是行为的地基；改变行为先改信念，信念变了世界就跟着变。,related,,,related,12,
K028,K053,自我和谐,3个我（进程、界面、内核）,身份,身份,内外一致，不拧巴；不一致的小事会消耗大量能量。,内核稳定，界面灵活，进程是当下任务；改界面不改内核。,related,,,related,11,
K011,K028,To be human,自我和谐,身份,身份,完整的人性包含脆弱、矛盾、有限，而不只是'更高更快'。,内外一致，不拧巴；不一致的小事会消耗大量能量。,related,,,related,10,
K011,K101,To be human,米提斯（Metis）,身份,意义与目的,完整的人性包含脆弱、矛盾、有限，而不只是'更高更快'。,智慧不止'知道'，更包括'知道何时、用何、为何'的实践巧思。,related,,,相关,10,
K011,K110,To be human,死亡（Death）,身份,意义与目的,完整的人性包含脆弱、矛盾、有限，而不只是'更高更快'。,把死亡放在视野中央，反而让活着变清晰；它是意义的最强催化剂。,related,,,相关,10,
K015,K053,扮演（as if）,3个我（进程、界面、内核）,身份,身份,假装，直到成真：身份的杠杆在行为而非心态。,内核稳定，界面灵活，进程是当下任务；改界面不改内核。,related,,,related,10,
K045,K030,我生了不是这样的,Find who you are,身份,身份,出生剧本不是判决；'本来的我'是可重写的变量。,自我不是找到的，是经由问题-工作-修正而浮现的。,related,,,related,10,
K045,K048,我生了不是这样的,叙事（故事）,身份,认知,出生剧本不是判决；'本来的我'是可重写的变量。,我们活在自己讲的故事里；改写叙事 = 改写现实。,related,,,相关,10,
K053,K054,3个我（进程、界面、内核）,君子不器,身份,身份,内核稳定，界面灵活，进程是当下任务；改界面不改内核。,不要被塑成单一工具；留接口而非定死形状。,related,,,related,10,
K054,K030,君子不器,Find who you are,身份,身份,不要被塑成单一工具；留接口而非定死形状。,自我不是找到的，是经由问题-工作-修正而浮现的。,related,,,related,10,
K028,K054,自我和谐,君子不器,身份,身份,内外一致，不拧巴；不一致的小事会消耗大量能量。,不要被塑成单一工具；留接口而非定死形状。,related,,,related,9,
K029,K053,24种性格 (Top 5),3个我（进程、界面、内核）,身份,身份,性格不止一套标签；用 Top 5 取代 One Type 更立体。,内核稳定，界面灵活，进程是当下任务；改界面不改内核。,related,,,related,9,
K029,K028,24种性格 (Top 5),自我和谐,身份,身份,性格不止一套标签；用 Top 5 取代 One Type 更立体。,内外一致，不拧巴；不一致的小事会消耗大量能量。,related,,,related,8,
